average_accuracy_vl,sd_accuracy_vl,average_tr_error_best_vl,network_topology,activation_hidden,weight_init,regularization,momentum,learning_rate
1.0889357264,0.0754759419,0.6874240727,"{'layer_sizes': (38, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.07, 'ALPHA': 0.85, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 1e-05}}, 'batch_size': 32, 'epochs': 1500, 'input_size': 10}",,,,,
1.0910875748,0.0539454513,0.6874510574,"{'layer_sizes': (38, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.06, 'ALPHA': 0.9, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 0.0001}}, 'batch_size': 64, 'epochs': 1500, 'input_size': 10}",,,,,
1.0922866316,0.0735101983,0.725770214,"{'layer_sizes': (38, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.08, 'ALPHA': 0.8, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 1e-05}}, 'batch_size': 32, 'epochs': 1500, 'input_size': 10}",,,,,
1.0924097005,0.0771471834,0.6790373253,"{'layer_sizes': (38, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.06, 'ALPHA': 0.9, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 0.0001}}, 'batch_size': 32, 'epochs': 1500, 'input_size': 10}",,,,,
1.0925012077,0.0550383114,0.7343652833,"{'layer_sizes': (38, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.07, 'ALPHA': 0.8, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 1e-05}}, 'batch_size': 64, 'epochs': 1500, 'input_size': 10}",,,,,
1.0926792291,0.0489182792,0.7473470829,"{'layer_sizes': (38, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.06, 'ALPHA': 0.85, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 0.0001}}, 'batch_size': 32, 'epochs': 1500, 'input_size': 10}",,,,,
1.0954484594,0.0595662876,0.8023246185,"{'layer_sizes': (38, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.08, 'ALPHA': 0.85, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 0.0005}}, 'batch_size': 32, 'epochs': 1500, 'input_size': 10}",,,,,
1.098101441,0.0688006803,0.8636046225,"{'layer_sizes': (38, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.08, 'ALPHA': 0.8, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 0.0005}}, 'batch_size': 64, 'epochs': 1500, 'input_size': 10}",,,,,
1.0981648522,0.0569504298,0.8064566392,"{'layer_sizes': (38, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.07, 'ALPHA': 0.85, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 0.0005}}, 'batch_size': 32, 'epochs': 1500, 'input_size': 10}",,,,,
1.0982902073,0.0492817546,0.7543943374,"{'layer_sizes': (38, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.08, 'ALPHA': 0.9, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 0.0005}}, 'batch_size': 32, 'epochs': 1500, 'input_size': 10}",,,,,
1.0986166813,0.0566041889,0.7209091765,"{'layer_sizes': (38, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.06, 'ALPHA': 0.85, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 1e-05}}, 'batch_size': 64, 'epochs': 1500, 'input_size': 10}",,,,,
1.0986571298,0.0675653943,0.7174067386,"{'layer_sizes': (38, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.06, 'ALPHA': 0.85, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 1e-05}}, 'batch_size': 32, 'epochs': 1500, 'input_size': 10}",,,,,
1.0986747117,0.0705859406,0.7749875159,"{'layer_sizes': (38, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.06, 'ALPHA': 0.8, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 0.0001}}, 'batch_size': 32, 'epochs': 1500, 'input_size': 10}",,,,,
1.099395679,0.0489060914,0.7167731657,"{'layer_sizes': (38, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.08, 'ALPHA': 0.85, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 0.0001}}, 'batch_size': 32, 'epochs': 1500, 'input_size': 10}",,,,,
1.099498472,0.0646839639,0.7857338112,"{'layer_sizes': (38, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.07, 'ALPHA': 0.8, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 0.0001}}, 'batch_size': 32, 'epochs': 1500, 'input_size': 10}",,,,,
1.0995895072,0.0579805237,0.7179167654,"{'layer_sizes': (38, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.07, 'ALPHA': 0.85, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 0.0001}}, 'batch_size': 64, 'epochs': 1500, 'input_size': 10}",,,,,
1.099726632,0.0562456481,0.7734616926,"{'layer_sizes': (38, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.08, 'ALPHA': 0.8, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 0.0001}}, 'batch_size': 32, 'epochs': 1500, 'input_size': 10}",,,,,
1.0999351171,0.0644805175,0.8467416619,"{'layer_sizes': (38, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.06, 'ALPHA': 0.85, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 0.0005}}, 'batch_size': 64, 'epochs': 1500, 'input_size': 10}",,,,,
1.1000215269,0.0543010477,0.7242480687,"{'layer_sizes': (38, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.07, 'ALPHA': 0.85, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 1e-05}}, 'batch_size': 64, 'epochs': 1500, 'input_size': 10}",,,,,
1.1009510678,0.0627212064,0.7803066509,"{'layer_sizes': (38, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.06, 'ALPHA': 0.8, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 0.0001}}, 'batch_size': 64, 'epochs': 1500, 'input_size': 10}",,,,,
1.1019051773,0.0613955771,0.7452046974,"{'layer_sizes': (38, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.07, 'ALPHA': 0.9, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 0.0005}}, 'batch_size': 32, 'epochs': 1500, 'input_size': 10}",,,,,
1.1019139412,0.0583902842,0.7752109018,"{'layer_sizes': (38, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.06, 'ALPHA': 0.9, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 0.0005}}, 'batch_size': 64, 'epochs': 1500, 'input_size': 10}",,,,,
1.1028945667,0.051445789,0.7757461674,"{'layer_sizes': (38, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.08, 'ALPHA': 0.85, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 0.0005}}, 'batch_size': 64, 'epochs': 1500, 'input_size': 10}",,,,,
1.104318602,0.0628008625,0.7765648719,"{'layer_sizes': (38, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.06, 'ALPHA': 0.9, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 0.0005}}, 'batch_size': 32, 'epochs': 1500, 'input_size': 10}",,,,,
1.1055551034,0.0664258686,0.7679481566,"{'layer_sizes': (38, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.07, 'ALPHA': 0.8, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 0.0001}}, 'batch_size': 64, 'epochs': 1500, 'input_size': 10}",,,,,
1.1057902938,0.0590085954,0.8451874625,"{'layer_sizes': (38, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.08, 'ALPHA': 0.8, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 0.0005}}, 'batch_size': 32, 'epochs': 1500, 'input_size': 10}",,,,,
1.1076664829,0.0552143065,0.882362153,"{'layer_sizes': (38, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.07, 'ALPHA': 0.8, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 0.0005}}, 'batch_size': 32, 'epochs': 1500, 'input_size': 10}",,,,,
1.1081463924,0.0498250478,0.7364254071,"{'layer_sizes': (38, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.07, 'ALPHA': 0.85, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 0.0001}}, 'batch_size': 32, 'epochs': 1500, 'input_size': 10}",,,,,
1.108222331,0.0541632079,0.7496091451,"{'layer_sizes': (38, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.06, 'ALPHA': 0.8, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 1e-05}}, 'batch_size': 64, 'epochs': 1500, 'input_size': 10}",,,,,
1.108959755,0.0226686914,0.6943991382,"{'layer_sizes': (38, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.06, 'ALPHA': 0.9, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 1e-05}}, 'batch_size': 64, 'epochs': 1500, 'input_size': 10}",,,,,
1.1097679017,0.052582452,0.7371073184,"{'layer_sizes': (38, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.08, 'ALPHA': 0.8, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 1e-05}}, 'batch_size': 64, 'epochs': 1500, 'input_size': 10}",,,,,
1.1098305367,0.0596386778,0.8500503597,"{'layer_sizes': (38, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.06, 'ALPHA': 0.85, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 0.0005}}, 'batch_size': 32, 'epochs': 1500, 'input_size': 10}",,,,,
1.1103953115,0.059956793,0.8228195042,"{'layer_sizes': (38, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.07, 'ALPHA': 0.85, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 0.0005}}, 'batch_size': 64, 'epochs': 1500, 'input_size': 10}",,,,,
1.1111137577,0.0588982112,0.7233375911,"{'layer_sizes': (38, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.07, 'ALPHA': 0.9, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 0.0001}}, 'batch_size': 64, 'epochs': 1500, 'input_size': 10}",,,,,
1.1114713965,0.0460903631,0.7233615623,"{'layer_sizes': (38, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.08, 'ALPHA': 0.85, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 0.0001}}, 'batch_size': 64, 'epochs': 1500, 'input_size': 10}",,,,,
1.1123733907,0.0616057119,0.8708360244,"{'layer_sizes': (38, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.07, 'ALPHA': 0.8, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 0.0005}}, 'batch_size': 64, 'epochs': 1500, 'input_size': 10}",,,,,
1.1128617784,0.0763644882,0.7683840118,"{'layer_sizes': (38, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.06, 'ALPHA': 0.85, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 0.0001}}, 'batch_size': 64, 'epochs': 1500, 'input_size': 10}",,,,,
1.1145357163,0.0501724375,0.7198377003,"{'layer_sizes': (38, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.06, 'ALPHA': 0.9, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 1e-05}}, 'batch_size': 32, 'epochs': 1500, 'input_size': 10}",,,,,
1.114547726,0.0540461677,0.740356525,"{'layer_sizes': (38, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.06, 'ALPHA': 0.8, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 1e-05}}, 'batch_size': 32, 'epochs': 1500, 'input_size': 10}",,,,,
1.1148693629,0.0525062859,0.7526858642,"{'layer_sizes': (38, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.08, 'ALPHA': 0.8, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 0.0001}}, 'batch_size': 64, 'epochs': 1500, 'input_size': 10}",,,,,
1.1154283436,0.0633827394,0.9209479143,"{'layer_sizes': (38, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.06, 'ALPHA': 0.8, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 0.0005}}, 'batch_size': 64, 'epochs': 1500, 'input_size': 10}",,,,,
1.1155715981,0.0472253347,0.7491726487,"{'layer_sizes': (38, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.08, 'ALPHA': 0.9, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 0.0005}}, 'batch_size': 64, 'epochs': 1500, 'input_size': 10}",,,,,
1.1179745197,0.0437599193,0.7522409384,"{'layer_sizes': (38, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.07, 'ALPHA': 0.9, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 0.0001}}, 'batch_size': 32, 'epochs': 1500, 'input_size': 10}",,,,,
1.118334862,0.0514194275,0.7030826072,"{'layer_sizes': (38, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.07, 'ALPHA': 0.9, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 1e-05}}, 'batch_size': 64, 'epochs': 1500, 'input_size': 10}",,,,,
1.119058848,0.0618734865,0.7581633529,"{'layer_sizes': (38, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.07, 'ALPHA': 0.9, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 0.0005}}, 'batch_size': 64, 'epochs': 1500, 'input_size': 10}",,,,,
1.1211240562,0.0460346446,0.7238825744,"{'layer_sizes': (38, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.08, 'ALPHA': 0.85, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 1e-05}}, 'batch_size': 32, 'epochs': 1500, 'input_size': 10}",,,,,
1.1215903505,0.0541808279,0.9046913247,"{'layer_sizes': (38, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.06, 'ALPHA': 0.8, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 0.0005}}, 'batch_size': 32, 'epochs': 1500, 'input_size': 10}",,,,,
