average_accuracy_vl,sd_accuracy_vl,average_metric_tr,network_topology
1.0904718178,0.0517194167,0.9243024177,"{'layer_sizes': (45, 45, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.06, 'ALPHA': 0.9, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 0.0001}}, 'batch_size': 32, 'epochs': 1500, 'input_size': 10}"
1.0955735205,0.0513486232,0.9370716804,"{'layer_sizes': (45, 45, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.07, 'ALPHA': 0.8, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 1e-05}}, 'batch_size': 32, 'epochs': 1500, 'input_size': 10}"
1.0980826115,0.0666133553,0.8997513855,"{'layer_sizes': (45, 45, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.06, 'ALPHA': 0.9, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 1e-05}}, 'batch_size': 32, 'epochs': 1500, 'input_size': 10}"
1.0987550313,0.0574749298,0.938359169,"{'layer_sizes': (45, 45, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.08, 'ALPHA': 0.9, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 0.0001}}, 'batch_size': 32, 'epochs': 1500, 'input_size': 10}"
1.1014561083,0.0516127632,0.9621082046,"{'layer_sizes': (45, 45, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.07, 'ALPHA': 0.8, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 0.0001}}, 'batch_size': 32, 'epochs': 1500, 'input_size': 10}"
1.1074660088,0.0667421778,0.9433654217,"{'layer_sizes': (45, 45, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.07, 'ALPHA': 0.9, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 0.0001}}, 'batch_size': 32, 'epochs': 1500, 'input_size': 10}"
1.1079695214,0.066441145,0.9540541773,"{'layer_sizes': (45, 45, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.08, 'ALPHA': 0.8, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 0.0001}}, 'batch_size': 32, 'epochs': 1500, 'input_size': 10}"
1.1099565072,0.0573240256,0.969918922,"{'layer_sizes': (45, 45, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.06, 'ALPHA': 0.8, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 0.0001}}, 'batch_size': 32, 'epochs': 1500, 'input_size': 10}"
1.1119594033,0.044986718,0.9367629869,"{'layer_sizes': (45, 45, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.08, 'ALPHA': 0.8, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 1e-05}}, 'batch_size': 32, 'epochs': 1500, 'input_size': 10}"
1.1145368633,0.0601414245,0.9558947249,"{'layer_sizes': (45, 45, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.06, 'ALPHA': 0.8, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 1e-05}}, 'batch_size': 32, 'epochs': 1500, 'input_size': 10}"
