average_accuracy_vl,sd_accuracy_vl,average_tr_error_best_vl,network_topology,activation_hidden,weight_init,regularization,momentum,learning_rate
1.0847058125,0.0595264087,0.7628683911,"{'layer_sizes': (36, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'xavier', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.11, 'ALPHA': 0.78, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 7.5e-05}}, 'batch_size': 32, 'epochs': 950, 'input_size': 10}",,,,,
1.0864346429,0.0525569265,0.7658907824,"{'layer_sizes': (36, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'xavier', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.11, 'ALPHA': 0.78, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 3.5e-05}}, 'batch_size': 64, 'epochs': 950, 'input_size': 10}",,,,,
1.0906294101,0.056878756,0.7218837408,"{'layer_sizes': (36, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'xavier', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.12, 'ALPHA': 0.8, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 7.5e-05}}, 'batch_size': 32, 'epochs': 950, 'input_size': 10}",,,,,
1.0908035818,0.0670324559,0.7573779955,"{'layer_sizes': (36, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'xavier', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.11, 'ALPHA': 0.75, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 5e-05}}, 'batch_size': 100, 'epochs': 950, 'input_size': 10}",,,,,
1.0938688379,0.0569934293,0.7462688629,"{'layer_sizes': (36, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'xavier', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.12, 'ALPHA': 0.78, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 3.5e-05}}, 'batch_size': 64, 'epochs': 950, 'input_size': 10}",,,,,
1.0941032822,0.0614179774,0.7465861239,"{'layer_sizes': (36, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'xavier', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.11, 'ALPHA': 0.8, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 7.5e-05}}, 'batch_size': 200, 'epochs': 950, 'input_size': 10}",,,,,
1.0948344295,0.0401097906,0.8326747806,"{'layer_sizes': (36, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'xavier', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.06, 'ALPHA': 0.8, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 1e-05}}, 'batch_size': 200, 'epochs': 950, 'input_size': 10}",,,,,
1.0952053622,0.0511446376,0.7817670793,"{'layer_sizes': (36, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'xavier', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.12, 'ALPHA': 0.75, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 1e-05}}, 'batch_size': 100, 'epochs': 950, 'input_size': 10}",,,,,
1.0956666021,0.0493253012,0.7825231502,"{'layer_sizes': (36, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'xavier', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.11, 'ALPHA': 0.75, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 1e-06}}, 'batch_size': 100, 'epochs': 950, 'input_size': 10}",,,,,
1.0962157722,0.055431481,0.8295313987,"{'layer_sizes': (36, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'xavier', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.06, 'ALPHA': 0.8, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 3.5e-05}}, 'batch_size': 200, 'epochs': 950, 'input_size': 10}",,,,,
